"AN";"APET";"NOMRS";"CNOMRS";"NUMVOIE";"INDREP";"TYPVOIE";"LIBVOIE";"CADR";"CODPOS";"DEPCOM";"DEP";"REG";"LIBCOM";"DOM";"SDOM";"TYPEQU";"SIRET";"STATUT_DIFFUSION";"CANTINE";"INTERNAT";"RPI";"EP";"CL_PGE";"SECT";"SECTEUR";"ACCES_AIRE_PRATIQUE";"ACCES_LIBRE";"ACCES_SANITAIRE";"ACCES_VESTIAIRE";"CAPACITE_D_ACCUEIL";"PRES_DOUCHE";"PRES_SANITAIRE";"SAISONNIER";"COUVERT";"ECLAIRE";"CATEGORIE";"MULTIPLEXE";"STRUCTURE_EXERCICE";"SPECIALITE";"ACCUEIL";"ITINERANCE";"MODE_GESTION";"SSTYPHEB";"TYPE";"TYPERESTO";"IMPLANTATION_STATION";"GPL";"CAPACITE";"INDIC_CAPA";"NBEQUIDENT";"INDIC_NBEQUIDENT";"NBSALLES";"INDIC_NBSALLES";"NBLIEUX";"INDIC_NBLIEUX";"NB_PDC";"INDIC_NB_PDC";"NB_PDC_PA";"INDIC_NB_PDC_PA";"NB_PDC_ACCELEREE";"INDIC_NB_PDC_ACCELEREE";"NB_PDC_LENTE";"INDIC_NB_PDC_LENTE";"NB_PDC_RAPIDE";"INDIC_NB_PDC_RAPIDE";"NB_PDC_ULTRARAPIDE";"INDIC_NB_PDC_ULTRARAPIDE";"NB_JOURS_OUVERT";"INDIC_NB_JOURS_OUVERT";"LAMBERT_X";"LAMBERT_Y";"LONGITUDE";"LATITUDE";"QUALITE_XY";"EPSG";"QUALITE_GEOLOC";"TR_DIST_PRECISION";"DCIRIS";"QUALI_IRIS";"IRISEE";"QP2024";"QUALI_QP2024";"QP2015";"QUALI_QP2015";"QVA";"QUALI_QVA";"ZUS";"QUALI_ZUS";"EPCI";"UU2020";"BV2022";"AAV2020";"DENS3";"DENS7"
"2025";"_Z";"BENJAMIN COZANET, MÉDECIN";"SELARL DR BENJAMIN COZANET";"231";"";"RUE";"SAINT HONORE";"";"75001";"75101";"75";"11";"PARIS 1ER ARRONDISSEMENT";"D";"D2";"D265";"81372726000016";"O";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"ES";"SPÉCIALISTE EN MÉDECINE GÉNÉRALE";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";650789;6863118;2.32918;48.86622;"B";"2154";"11";"< 100";"751010401";"1";"1";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"200054781";"00851";"75056";"001";"1";"1"
"2025";"_Z";"DIDIER DUCHEMIN, MÉDECIN";"SELARL DR D DUCHEMIN";"";"";"CTRE";"MEDICAL DE L AEROPORT";"AEROPORT POLE CARAIBES";"97139";"97101";"971";"01";"LES ABYMES";"D";"D2";"D265";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"ES";"QUALIFIÉ EN MÉDECINE GÉNÉRALE";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";659850;1800150;-61.50402;16.2769;"M";"5490";"33";">= 500";"971010102";"3";"1";"HZ";"3";"HZ";"3";"CSZ";"_Z";"HZ";"3";"200018653";"9A701";"97101";"9A1";"2";"2"
"2025";"_Z";"FRANCK THOUZERY, MÉDECIN";"DOCTEUR THOUZERY FRANCK";"";"";"MNE";"VERGAIN";"IMMEUBLE LE LIEU";"97139";"97101";"971";"01";"LES ABYMES";"D";"D2";"D265";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"ES";"SPÉCIALISTE EN MÉDECINE GÉNÉRALE";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";657750;1798050;-61.52381;16.25806;"M";"5490";"22";">= 500";"971010109";"2";"1";"HZ";"2";"HZ";"2";"CSZ";"_Z";"HZ";"2";"200018653";"9A701";"97101";"9A1";"2";"2"
"2025";"_Z";"MOUTIH ISSA, MÉDECIN";"CABINET DU DR MOUTIH ISSA";"";"";"RES";"PORTE DE SONIS 2";"BAT D";"97139";"97101";"971";"01";"LES ABYMES";"D";"D2";"D265";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"CI";"MÉDECINE GÉNÉRALE";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";657220;1796330;-61.52889;16.24255;"M";"5490";"21";"< 100";"971010116";"2";"1";"QN97101M";"2";"QP971001";"2";"CSZ";"_Z";"0110110";"2";"200018653";"9A701";"97101";"9A1";"2";"2"
"2025";"_Z";"CLAIRE-LISE LACOMBE, MÉDECIN";"CABINET DU DR CLAIRE-LISE LACOMBE";"47";"";"AV";"DU GENERAL DE GAULLE";"";"97425";"97401";"974";"04";"LES AVIRONS";"D";"D2";"D265";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"CG";"SPÉCIALISTE EN MÉDECINE GÉNÉRALE";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";327030;7650352;55.33318;-21.24024;"B";"2975";"11";"< 100";"974010101";"1";"1";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"249740077";"9D402";"97404";"9D4";"2";"4"
"2025";"_Z";"BRIGADE TERRITORIALE AUTONOME DE BAIE-MAHAULT";"CASERNE BEAUSOLEIL";"322";"";"RTE";"DE BLACHON";"";"97122";"97103";"971";"01";"BAIE-MAHAULT";"A";"A1";"A104";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";649668;1797180;-61.59949;16.25071;"B";"5490";"_Z";"_Z";"971030102";"1";"1";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"200018653";"9A701";"97101";"9A1";"2";"4"
"2025";"_Z";"BRIGADE TERRITORIALE AUTONOME DE GOYAVE";"";"455";"";"RUE";"DES ECOLES";"";"97128";"97114";"971";"01";"GOYAVE";"A";"A1";"A104";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";652456;1784237;-61.57424;16.13357;"B";"5490";"11";"< 100";"971140101";"1";"1";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"CSZ";"_Z";"249710062";"9A401";"97101";"9A1";"2";"3"
"2025";"_Z";"COMMISSARIAT DE POLICE DE POINTE À PITRE";"";"";"";"QUA";"LAFOND";"";"97139";"97101";"971";"01";"LES ABYMES";"A";"A1";"A140";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";657362;1795958;-61.52758;16.23918;"B";"5490";"11";"< 100";"971010116";"1";"1";"QN97101M";"1";"HZ";"1";"CSZ";"_Z";"0110110";"1";"200018653";"9A701";"97101";"9A1";"2";"2"
"2025";"_Z";"LYCEE PROVIDENCE";"PISCINE";"";"";"MNE";"EPINGLE";"ETABLISSEMENT SCOLAIRE";"97139";"97101";"971";"01";"LES ABYMES";"F";"F1";"F101";"";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"0";"_U";"0";"1";"_U";"_U";"_U";"0";"0";"_U";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";1;"1";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";658790;1799385;-61.514;16.27006;"_U";"5490";"_Z";"_Z";"971010101";"3";"1";"HZ";"3";"HZ";"3";"CSZ";"_Z";"HZ";"3";"200018653";"9A701";"97101";"9A1";"2";"2"
"2025";"_Z";"DZOUMOGNE BP";"";"303";"";"RUE";"FRANCOIS MITTERRAND";"";"97650";"97602";"976";"06";"BANDRABOUA";"A";"A2";"A206";"35600000049670";"O";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";"_Z";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;"0";;;;;"_Z";"4471";"_Z";"_Z";"97602_IND";"3";"1";"IND";"3";"IND";"3";"IND";"3";"IND";"3";"200060465";"9F305";"97611";"9F1";"3";"5"
