nofinesset;nofinessej;rs;rslongue;complrs;compldistrib;numvoie;typvoie;voie;compvoie;lieuditbp;commune;departement;libdepartement;ligneacheminement;telephone;telecopie;categetab;libcategetab;categagretab;libcategagretab;siret;codeape;codemft;libmft;codesph;libsph;dateouv;dateautor;datemaj;numuai;coordxet;coordyet;sourcecoordet;datemaj_geoloc
010000024;010780054;CH DE FLEYRIAT;CENTRE HOSPITALIER DE BOURG-EN-BRESSE FLEYRIAT;;;900;RTE;DE PARIS;;;451;01;AIN;01440 VIRIAT;0474454647;0474454114;355;Centre Hospitalier (C.H.);1102;Centres Hospitaliers;26010004500012;8610Z;03;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1979-02-13;1979-02-13;2020-02-04;;870262.2;6571540.8;1,ATLASANTE,96,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
010000081;010780112;CH DU PAYS DE GEX;CENTRE HOSPITALIER DU PAYS DE GEX;;;160;R;MARC PANISSOD;;BP 437;173;01;AIN;01174 GEX CEDEX;0450403838;0450403825;106;Centre hospitalier, ex Hôpital local;1106;Hôpitaux Locaux;26010010200011;8610Z;03;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1901-01-01;1901-01-01;2020-02-04;;935221.3;6584833.3;1,ATLASANTE,85,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
010000495;010783009;CENTRE PSYCHOTHERAPIQUE DE L'AIN;CENTRE PSYCHOTHERAPIQUE DE L'AIN;;;;AV;DE MARBOZ;;;053;01;AIN;01012 BOURG EN BRESSE CEDEX;0474522911;0474522899;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Centres Hospitaliers Spécialisés Lutte Maladies Mentales;77554456200108;8610Z;04;ARS établissements PSPH dotation globale;6;Etablissement de santé privé d'intérêt collectif;1977-01-01;2016-08-01;2018-07-13;;871773.3;6571663.9;2,ATLASANTE,83,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
010002228;920030152;EHPAD L'AMBARROISE AMBERIEU;EHPAD L'AMBARROISE AMBERIEU;;;58;AV;PAUL PAINLEVE;;;004;01;AIN;01500 AMBERIEU EN BUGEY;0474461111;0474461110;500;Etablissement d'hébergement pour personnes âgées dépendantes;4401;Etablissements d'Hébergement pour Personnes Âgées;49085207600010;8710A;47;ARS/PCD, Tarif partiel, non habilité aide sociale sans PUI;;;2006-12-04;2017-07-08;2026-05-07;;881333.1;6542469.8;1,ATLASANTE,97,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
010002285;010002277;NOUVELLE PHARMACIE DU CHAMP DE MARS;NOUVELLE PHARMACIE DU CHAMP DE MARS;;;9;R;ALEXANDRE BERARD;;;004;01;AIN;01500 AMBERIEU EN BUGEY;0474380226;0474382135;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;89393998300019;;01;Etablissement Tarif Libre;;;2026-02-01;1942-08-10;2026-04-25;;882630.0;6542639.0;1,ATLASANTE,97,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
010003317;010003291;PHARMACIE BOUVIER;PHARMACIE BOUVIER;;;;RES;DE CESSY;;;071;01;AIN;01170 CESSY;0450414060;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;40222575900016;;01;Etablissement Tarif Libre;;;1995-09-19;1995-06-27;2025-09-10;;936160.3;6584262.2;4,ATLASANTE,.,ADMIN-EXPRESS-2023,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
010007300;010007292;CLINIQUE AMBULATOIRE CENDANEG;CLINIQUE AMBULATOIRE CENDANEG;;CENTRE MEDICAL EUROPA;180;RTE;DU NANT;;;313;01;AIN;01280 PREVESSIN MOENS;0450428025;0450401758;128;Etablissement de Soins Chirurgicaux;1110;Etablissements de Soins de Courte Durée;42111199800033;8610Z;07;ARS établissements de santé non financés dotation globale;0;Non concerné;1998-04-01;1998-04-01;2020-10-01;;937719.7;6576709.5;1,ATLASANTE,96,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
010010155;690799556;EPEI BOURG-EN-BRESSE-UEAJ BOURG-EN-B;EPEI BOURG-EN-BRESSE-UEAJ BOURG-EN-BRESSE;;;3;R;DU CORDIER;;;053;01;AIN;01000 BOURG EN BRESSE;0474452372;;242;Service d'Activité de Jour;4502;Etab.et Services du Ministère de la Justice pour Mineurs;17690131200437;8899A;99;Indéterminé;;;2022-10-11;2022-10-11;2025-10-21;;;;;
030004964;030004956;PHARMACIE GMYR-MARTIN;PHARMACIE GMYR-MARTIN;;;1;R;Madame de Sévigné;;;304;03;ALLIER;03110 VENDAT;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;45310787200013;;01;Etablissement Tarif Libre;;;2024-04-08;2023-12-18;2024-05-18;;727807.6;6564376.8;1,ATLASANTE,56,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
060000510;060780954;CH D'ANTIBES JUAN LES PINS;CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS;;;107;AV;DE NICE;;;004;06;ALPES MARITIMES;06606 ANTIBES CEDEX;0497247890;0497247797;355;Centre Hospitalier (C.H.);1102;Centres Hospitaliers;26060015000015;8610Z;03;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1967-01-01;1967-01-01;2018-08-07;0061918C;1032741.9;6286633.5;1,ATLASANTE,87,BAN,EPSG:2154 RGF93 / Lambert-93 (Métropole);2026-05-04
