id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-653475,2023-02-13,000001,Vente,10000,,,LA FOUILLOUZE,B544,48200,48012,Les Monts-Verts,48,,,480120060B0571,,,,,,,,,,,,,0,,,,,S,sols,,,479,3.251397,44.866577
2023-653747,2023-03-24,000001,Vente,187500,5010,,TREMOULOUZET,C220,48200,48012,Les Monts-Verts,48,,,480120000B0616,,,,,,,,,,,,,0,1,Maison,65,1,S,sols,,,409,3.215219,44.863753
2023-653747,2023-03-24,000001,Vente,187500,,,TREMOULOUZET,C220,48200,48012,Les Monts-Verts,48,,,480120000B0617,,,,,,,,,,,,,0,,,,,S,sols,,,32,3.215232,44.863894
2023-653747,2023-03-24,000001,Vente,187500,,,TREMOULOUZET,C220,48200,48012,Les Monts-Verts,48,,,480120000B0618,,,,,,,,,,,,,0,,,,,P,prés,,,358,3.215472,44.863846
2023-653749,2023-03-24,000001,Vente,1600,,,LA COMBE,B385,48200,48012,Les Monts-Verts,48,,,480120060B0190,,,,,,,,,,,,,0,,,,,B,bois,PIN,Pins,6068,3.247765,44.867215
2023-653749,2023-03-24,000001,Vente,1600,,,LA COMTE,B396,48200,48012,Les Monts-Verts,48,,,480120060B0929,,,,,,,,,,,,,0,,,,,PA,pâtures,PATUR,Pâture plantée,40,3.246993,44.868367
2023-654878,2023-09-06,000001,Vente,45000,5023,,LE BACON,B019,48200,48012,Les Monts-Verts,48,,,480120000B0374,,,,,,,,,,,,,0,1,Maison,108,4,S,sols,,,60,3.203754,44.857319
2023-654878,2023-09-06,000001,Vente,45000,,,LE BACON,B019,48200,48012,Les Monts-Verts,48,,,480120000B0375,,,,,,,,,,,,,0,,,,,PA,pâtures,PATUR,Pâture plantée,415,3.203913,44.857531
2023-655347,2023-11-27,000001,Vente,30000,,,TREMOULOUX,C219,48200,48012,Les Monts-Verts,48,,,48012006ZA0038,,,,,,,,,,,,,0,,,,,T,terres,,,550,3.239716,44.844045
2023-655347,2023-11-27,000001,Vente,30000,,,TREMOULOUX,C219,48200,48012,Les Monts-Verts,48,,,48012006ZA0038,,,,,,,,,,,,,0,,,,,T,terres,,,550,3.239716,44.844045
