id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1211481,2024-01-22,000001,Vente,700000,10,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0036,,,569,,679,,,,,,,,2,2,Appartement,79,4,,,,,,2.37108,48.828875
2024-1211481,2024-01-22,000001,Vente,700000,10,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0036,,,569,,679,,,,,,,,2,3,Dépendance,,0,,,,,,2.37108,48.828875
2024-1211481,2024-01-22,000001,Vente,700000,10,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0036,,,569,,679,,,,,,,,2,3,Dépendance,,0,,,,,,2.37108,48.828875
2024-1211784,2024-01-30,000001,Vente,195000,10,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0032,,,10,,32,23.71,,,,,,,2,2,Appartement,30,2,,,,,,2.373473,48.830795
2024-1211926,2024-02-08,000001,Vente,300000,31,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0029,,,12,34.86,9,,,,,,,,2,2,Appartement,35,2,,,,,,2.371439,48.829409
2024-1211926,2024-02-08,000001,Vente,300000,31,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0029,,,12,34.86,9,,,,,,,,2,3,Dépendance,,0,,,,,,2.371439,48.829409
2024-1212392,2024-02-20,000001,Vente,1438270,24,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0017,,,16,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.371068,48.830994
2024-1212392,2024-02-20,000001,Vente,1438270,24,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0017,,,94,100.51,,,,,,,,,1,2,Appartement,100,4,,,,,,2.371068,48.830994
2024-1212530,2024-02-15,000001,Vente,166000,8,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0041,,,110,,99,,,,,,,,2,3,Dépendance,,0,,,,,,2.371686,48.828912
2024-1212530,2024-02-15,000001,Vente,166000,8,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0041,,,110,,99,,,,,,,,2,2,Appartement,17,1,,,,,,2.371686,48.828912
2024-1212551,2024-02-07,000001,Vente,2000000,24,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0017,,,82,28,,,,,,,,,1,2,Appartement,28,2,,,,,,2.371068,48.830994
2024-1212551,2024-02-07,000001,Vente,2000000,24,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0017,,,81,28,,,,,,,,,1,2,Appartement,28,2,,,,,,2.371068,48.830994
2024-1212551,2024-02-07,000001,Vente,2000000,24,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0017,,,77,24.04,,,,,,,,,1,2,Appartement,24,2,,,,,,2.371068,48.830994
2024-1212551,2024-02-07,000001,Vente,2000000,24,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0017,,,79,28,,,,,,,,,1,2,Appartement,28,2,,,,,,2.371068,48.830994
2024-1212551,2024-02-07,000001,Vente,2000000,24,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0017,,,84,28,,,,,,,,,1,2,Appartement,28,2,,,,,,2.371068,48.830994
