lat;lon;geo_id_wmo;geo_id_wigos;name;reference_time;insert_time;validity_time;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
-37.795167;77.569167;61996;0-20000-0-61996;NOUVELLE AMSTERDAM;2026-01-01T00:10:06Z;2026-01-01T00:06:38Z;2026-01-01T00:00:00Z;100320;70;6;320;12.2;291.55;291.35;99;;;;;;;;;;;99980;;;-860;;290.55;;293.35;;;;;20.0;-10;;;;;0.0;0.0;1.6;8.4;24.0;;;;;;;;;;;;;;;;
43.621;1.378833;07630;0-20000-0-07630;TOULOUSE-BLAGNAC;2026-01-01T00:10:06Z;2026-01-01T00:02:31Z;2026-01-01T00:00:00Z;102210;-120;8;130;0.8;272.15;271.45;95;6260;0;;;100;8;450;;;;100310;;;-170;;;;;273.85;;;1.6;1.6;-10;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8;;300;;;;;;;;;
43.856833;4.406333;07645;0-20000-0-07645;NIMES-COURBESSAC;2026-01-01T00:10:06Z;2026-01-01T00:08:45Z;2026-01-01T00:00:00Z;102070;-40;8;30;1.8;274.15;267.05;59;;;;;;;;;;;101290;;;180;;;;;273.85;;;5.2;8.8;-10;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
50.7325;1.599667;07002;0-20000-0-07002;BOULOGNE-SEM;2026-01-01T00:10:06Z;2026-01-01T00:02:31Z;2026-01-01T00:00:00Z;102010;-310;7;260;6.5;277.05;274.05;81;;;;;;;;;;;101160;;;-1230;;;;;;;;10.7;11.7;-10;;;;;0.0;0.0;0.0;0.0;0.8;;;;;;;;;;;;;;;;
-37.795167;77.569167;61996;0-20000-0-61996;NOUVELLE AMSTERDAM;2026-01-01T03:10:05Z;2026-01-01T03:06:30Z;2026-01-01T03:00:00Z;100240;80;8;330;13.5;291.95;291.65;98;;;;;;;;;;;99900;;;-960;;290.55;;293.35;;;;;17.6;-10;;;;;0.0;0.0;0.0;4.4;23.2;;;;;;;;;;;;;;;;
43.621;1.378833;07630;0-20000-0-07630;TOULOUSE-BLAGNAC;2026-01-01T03:10:05Z;2026-01-01T03:04:16Z;2026-01-01T03:00:00Z;102090;-110;7;190;2.1;272.55;270.95;89;12190;0;;;100;8;250;;;;100200;;;-250;;;;;273.85;;;3.7;3.7;-10;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8;;270;;;;;;;;;
43.856833;4.406333;07645;0-20000-0-07645;NIMES-COURBESSAC;2026-01-01T03:10:05Z;2026-01-01T03:08:34Z;2026-01-01T03:00:00Z;102030;-50;8;220;0.6;271.25;267.25;74;;;;;;;;;;;101240;;;80;;;;;273.35;;;1.5;3.1;-10;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
50.7325;1.599667;07002;0-20000-0-07002;BOULOGNE-SEM;2026-01-01T03:10:05Z;2026-01-01T03:04:16Z;2026-01-01T03:00:00Z;101770;-240;6;290;10.0;277.35;274.05;79;;;;;;;;;;;100920;;;-1360;;;;;;;;16.0;16.0;-10;;;;;0.0;0.0;0.0;0.0;0.4;;;;;;;;;;;;;;;;
-37.795167;77.569167;61996;0-20000-0-61996;NOUVELLE AMSTERDAM;2026-01-01T06:10:07Z;2026-01-01T06:03:30Z;2026-01-01T06:00:00Z;100060;180;8;330;15.0;292.15;291.45;96;;;;;;;;;;;99720;;;-1000;;290.55;;293.35;;;;;23.0;-10;;;;;0.0;0.0;0.0;1.6;13.6;;;;;;;;;;;;;;;;
43.621;1.378833;07630;0-20000-0-07630;TOULOUSE-BLAGNAC;2026-01-01T06:10:07Z;2026-01-01T06:03:34Z;2026-01-01T06:00:00Z;101950;-140;6;140;3.0;272.55;271.25;91;10090;0;;;100;8;250;;;;100060;;;-370;270.85;;273.75;;273.85;;;4.4;4.8;-10;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;8;;240;;;;;;;;;
43.856833;4.406333;07645;0-20000-0-07645;NIMES-COURBESSAC;2026-01-01T07:10:05Z;2026-01-01T06:10:16Z;2026-01-01T06:00:00Z;101880;-150;8;350;3.2;271.95;267.75;73;;;;;;;;;;;101090;;;-120;269.95;;276.05;;273.35;;;7.1;7.1;-10;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
50.7325;1.599667;07002;0-20000-0-07002;BOULOGNE-SEM;2026-01-01T06:10:07Z;2026-01-01T06:03:35Z;2026-01-01T06:00:00Z;101420;-340;6;270;12.1;277.75;273.15;72;;;;;;;;;;;100580;;;-1590;276.85;;278.05;;;;;18.8;19.5;-10;;;;;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;
