id_pdc_itinerance,etat_pdc,occupation_pdc,horodatage,etat_prise_type_2,etat_prise_type_combo_ccs,etat_prise_type_chademo,etat_prise_type_ef
FRITPEPCC00831,en_service,libre,2026-09-03 12:16:26+00:00,fonctionnel,,,fonctionnel
FRS14EETSF1,en_service,libre,2026-01-28 09:50:03.372576+00:00,,fonctionnel,,
FRETIE49301A14,en_service,occupe,2026-09-07 16:33:46+00:00,,,,
FRDRVEABNY1,en_service,inconnu,2026-09-07 15:38:31.306000+00:00,,,,
FRLDLE00000747,en_service,libre,2026-09-07 16:28:40.594000+00:00,fonctionnel,fonctionnel,fonctionnel,fonctionnel
FRV75PPX12201,en_service,libre,2026-09-07 16:07:17.521000+00:00,fonctionnel,,,fonctionnel
FRPD1ECORWITBBC200011,en_service,libre,2026-09-07 16:36:56+00:00,,fonctionnel,,
FRELCEM4L4,en_service,reserve,2025-12-29 07:03:29+00:00,fonctionnel,,,
FRPD1EITMBNLEKA600013,en_service,occupe,2026-09-07 16:19:56+00:00,,fonctionnel,,
FRPD1EBDMCARKPC600014,en_service,occupe,2026-09-07 16:35:30.561000+00:00,,fonctionnel,,
FRPD1ESYUACHKPC200013,en_service,libre,2026-09-07 16:09:45.637000+00:00,,fonctionnel,,
FRPD1ELIDMILLTTN120021,en_service,libre,2026-09-07 16:30:21+00:00,,fonctionnel,,
FRPD1EJARCOUALF22011,en_service,libre,2026-09-07 15:53:34.173301+00:00,fonctionnel,,,
FRTSLE3Z0NCY,en_service,occupe,2026-09-07 16:23:50.803613+00:00,inconnu,inconnu,inconnu,inconnu
FRTSLE0DJPTB,en_service,libre,2026-09-07 15:50:41.253279+00:00,inconnu,inconnu,inconnu,inconnu
FRTSLEA4TGHG,en_service,libre,2026-09-07 16:35:08.785272+00:00,inconnu,inconnu,inconnu,inconnu
FRTSLEA4Q6AX,en_service,libre,2026-09-07 16:30:05.302017+00:00,inconnu,inconnu,inconnu,inconnu
